id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-C8-A12Z	0.027496066	0	0.039156096	0.017509465	0	0.058529498	0	0.041886273	0.022219588	0	0	0.003461582	0	0.568429758	0.07376166	0.101922161	0	0	0.045627853	0	0	0
TCGA-E9-A1QZ	0.057510162	0.036508316	0.01271429	0.181783461	0	0.260460003	0.064338671	0.014680191	0.003636288	0.066107179	0	0	0	0.013954052	0.095943486	0.087860243	0.043403445	0.005201543	0.055538536	0	0	0.000360135
TCGA-AR-A1AS	0	0.01728592	0	0.021205337	0	0.048232604	0	0	0.010837723	0	0.04014748	0	0	0.47856473	0	0.332503297	0	0.000717653	0.050505256	0	0	0
TCGA-D8-A1JT	0	0.011433829	0	0.02328165	0	0.050022745	0	0.066367101	0.008561974	0.01475093	0	0.035324467	0	0.374122155	0.075661677	0.250678092	0	0.036172047	0.048722302	0	0	0.004901031
TCGA-D8-A1J8	0.03726845	0	0.001904037	0.148933207	0	0.097698428	0.098849345	0.069954532	0.009763504	0.045225103	0	0.02021379	0	0.129922535	0.121041341	0.153766411	0	0.0369185	0.008888095	0	0	0.019652722
TCGA-E9-A3QA	0.030108734	0.012932789	0.019368446	0.083685834	0	0.108062341	0.070907595	0.050350352	0.064456921	0	0	0.025361964	0	0.214933342	0.197000316	0.051730831	0.007354797	0.047414275	0.016331464	0	0	0
TCGA-BH-A1ET	0.07821703	0	0.019335516	0.136660615	0	0.278284238	0.00313309	0.016654472	0	0	0	0.002182602	0.094080985	0	0.081662993	0.1661159	0.037410951	0	0.08626161	0	0	0
TCGA-E2-A153	0.002004621	0	0.00587718	0	0	0.090055252	0	0.019990805	0.028749306	0.016782789	0	0.023546812	0	0.414340887	0.008356881	0.269789349	0	0	0.120506118	0	0	0
TCGA-BH-A0EI	0.081530989	0	0.006064302	0.018431672	0	0.07043781	0	0.051497532	0.008234493	0	0	0.036584819	0	0.191931939	0.007503335	0.325580988	0	0.0293477	0.15758939	0	0	0.015265031
TCGA-BH-A0DX	0.01952288	0	8.83E-06	0.017475545	0	0.056836284	0	0.012579972	0	0.021889428	0	0	0	0.587892268	0.054468037	0.149283839	0.001469524	0	0.078573397	0	0	0
TCGA-E9-A228	0	0.000747699	0	0.0319117	0	0.010173188	0.000484612	0	0.000892427	0	0.013087114	0	0	0.654678433	0.013905107	0.208552814	0	0	0.065566905	0	0	0
TCGA-BH-A0HB	0.043558035	0	0.003163431	0.154017246	0	0.203719523	0.021016275	0.018646049	0.052410516	0.018955689	0	0	0.010362844	0.167287358	0.069192679	0.154258557	0.036286549	0.000546699	0.046578549	0	0	0
TCGA-A8-A07O	0.057438859	0	0.010461166	0.06711549	0	0.083870424	0.03136427	0.025203057	0.025031901	0	0	0.008661474	0.007798227	0.573165788	0.024769499	0.054125832	0	0.015651684	0	0.015342328	0	0
TCGA-A8-A09I	0.045152987	0	0.010005246	0.120482361	0	0.087051278	0.097045416	0.053120293	0.001141223	0	0	0.03607118	0.04251849	0.074695548	0.077913874	0.212865632	0.025721644	0.046119926	0.050337035	0	0	0.019757869
TCGA-AC-A2FB	0.100476989	0	0.001955243	0.210408671	0	0.286288459	0.104209029	0.014300724	0	0.020564776	0	0	0.006382442	0.028134579	0.093826482	0.055432438	0.001932074	0.002238807	0.073849286	0	0	0
TCGA-B6-A0RL	0	0.021382287	0.004704036	0.061798655	0	0.021804593	0	0.099111932	0.018606395	0	0	0.045904969	0	0.402018585	0.001983885	0.22695881	0	0.052764072	0.038779072	0	0.004182709	0
TCGA-C8-A1HG	0.000589807	0	0.107404715	0.279039312	0	0.058075905	0.070331246	0.042563747	0.042838608	0.004773823	0	0.018169502	0	0.062589022	0.081558399	0.187109035	0.008891239	0	0.035427174	0	0	0.000638467
TCGA-A8-A09M	0.033295964	0	0.038553343	0.140699545	0	0.192417766	0.027897993	0.065688222	0.042478246	0	0	0.004987248	0.057266327	0.061559573	0.094982607	0.201227883	0.009983336	0.007428992	0.021532956	0	0	0
TCGA-A8-A08O	0.302653556	0	0.064813302	0.087502118	0	0.164906053	0	0	0.003489255	0	0	0.02153275	0.021089974	0.102405353	0.043732637	0.07959504	0	0	0.108279962	0	0	0
TCGA-A2-A0EM	0.001964628	0	0.002030865	0.064672039	0	0.187884687	0	0.02141782	0	0.008035955	0	0.00816405	0.117557896	0.013630244	0.049650253	0.149578558	0.103835252	0.070941462	0.199653466	0	0	0.000982824
TCGA-D8-A27T	0.1069495	0	0.032282131	0.101500401	0	0.193577517	0.02373987	0.029258813	0.005561046	0.003480379	0	0	0.010130043	0.12688532	0.13872213	0.11951743	0.015960048	0	0.092435372	0	0	0
TCGA-AC-A6IW	0.01970693	0	0	0.140971906	0	0.131061527	0.018083488	0.109370902	0.021952771	0	0	0.012435807	0.012257577	0.015176627	0.133674013	0.166657222	0.203377504	0	0.008411752	0	0.005025688	0.001836286
TCGA-S3-A6ZH	0.063186257	0	0.117077957	0.079443547	0	0.125973728	0	0.035219058	0.037311063	0.001676817	0	0.047429709	0.017507597	0.026352916	0.131897231	0.118777405	0.051692428	0	0.146454286	0	0	0
TCGA-BH-A5IZ	0.019827108	0	0.033938787	0.050843418	0	0.028998941	0	0.025137794	0.014579641	0	0	0.017087164	0.003909382	0.495780509	0.027101588	0.192410875	0	0.071354209	0.000473494	0	0	0.018557091
TCGA-OL-A6VQ	0.131041895	0	0.030327121	0.082994574	0	0.285431798	0.031754642	0	0	0	0	0	0.006643737	0	0.089084681	0.079106243	0.119954333	0.031404238	0.105146174	0.007110564	0	0
TCGA-A2-A3Y0	0.03578417	0	0.007890865	0.227893919	0	0.086453205	0.116556018	0.078085916	0.090948296	0	0.012230698	0.007094367	0.005061719	0.156604576	0.086812221	0.062070525	0.012494852	0.005454286	0.004686605	0	0	0.003877762
TCGA-OL-A5RW	0.006794111	0.043603451	0	0.004384884	0	0.174958733	0	0.070814943	0.019123905	0	0.008726937	0	0.019833337	0.240588731	0.136771521	0.142928906	0	0.095208232	0.032865026	0	0	0.003397284
TCGA-OL-A66O	0.03695269	0	0.156239441	0.1262218	0	0.106472949	0	0.051082916	0.053234173	0	0	0.055881836	0.003026717	0.083194698	0.033123347	0.149177648	0.001961999	0	0.134619979	0	0.001843012	0.006966797
TCGA-A2-A0D0	0.059381266	0	0.003538065	0.17204727	0	0.144493488	0.060825888	0.064036528	0.019903285	0.005613568	0	0.022995065	0	0.219143961	0.077665695	0.099723225	0.047979872	0	0.000296047	0	0	0.002356778
TCGA-A2-A3KC	0.080786279	0	0.043216405	0.035673786	0	0.21184536	0	0.018770481	0.019382737	0	0	0	0	0.225869874	0.087065934	0.202485506	0	0	0.074903638	0	0	0
TCGA-A2-A0EY	0.111569177	0	0.051010647	0.097745265	0	0.229125244	0.007973168	0.047553339	0.029708107	0	0	0.024610833	0.053161453	0.028993051	0.07433927	0.121636544	0.047026341	0	0.075547563	0	0	0
TCGA-S3-AA15	0.100912319	0.020103788	0.360403577	0.101506411	0	0.073916272	0.032832176	0.002160497	0.032514733	0	0	0.019496226	0.008931634	0.092477943	0.026613916	0.067230738	0.005813035	0	0.053134526	0	0	0.001952209
TCGA-LD-A9QF	0.032117621	0.009545669	0	0.132806674	0	0.148279981	0.02156248	0	0.053189332	0.0003444	0	0.023561974	0	0.370839899	0.089090385	0.068790358	0.00374026	0	0.046130967	0	0	0
TCGA-E9-A1RH	0.023108052	0	0.030556667	0.026347727	0	0.077904854	0.030730854	0.028269439	0.005332106	0	0.018225025	0	0	0.403202594	0.13057499	0.091434151	0.059102137	0	0.075211405	0	0	0
TCGA-MS-A51U	0.140020058	0	0.072595137	0.156356459	0	0.182692911	0.011926453	0.040244502	0.040414824	0.000734508	0	0	0.005865976	0.045545306	0.146563287	0.055048192	0.055287397	0	0.046704991	0	0	0
TCGA-AR-A2LK	0.044721329	0	0.004519166	0.00965581	0	0.116132183	0	0.029310138	0.012090229	0.01263855	0	0.017574064	0.018504012	0.195258187	0.071065426	0.308715828	0.016395386	0	0.137057215	0	0	0.006362477
TCGA-AC-A2B8	0.058899227	0	0.007394354	0.114449006	0	0.231787695	0.008112335	0.02521158	0.011080567	0.003239299	0	0	0.076131282	0.099180136	0.09703219	0.155403651	0.011895485	0.002017673	0.097935604	0	0	0.000229915
TCGA-AC-A3W7	0.029003105	0	0.002943184	0.151794181	0	0.273047511	0	0.024714223	0.027951019	0	0	0.003130802	0.001475829	0.081894505	0.066170193	0.182022372	0.053468934	0.005713514	0.087150248	0	0	0.009520379
TCGA-E9-A3X8	0.02119617	0	0.21071942	0.331065577	0	0.007738124	0	0.035716721	0.079199815	0	0	0.036846112	0.004184549	0.031202604	0.089851494	0.08116749	0.008913697	0	0.062198226	0	0	0
TCGA-BH-A0BO	0.109475477	0	0.070627693	0.014472225	0	0.204918339	0.025619693	0	0	0.000583695	0.012977099	0	0.048890345	0.018581519	0.017442012	0.119773392	0.001418384	0.025514329	0.170940004	0	0	0.158765797
TCGA-AR-A0U4	8.40E-05	0.000280049	0.000390989	0.025314062	0	0.069726386	0.028246346	0.010405857	0	0	0.010588305	0	0.021333031	0.536042166	0.188684408	0.085061202	0.02208582	0	0	0	0	0.001757337
TCGA-A2-A04N	0.092731179	0.005551359	0	0.056365503	0	0.167290864	0	0.052587579	0	0	0	0.004594918	0	0.21889164	0.078249928	0.174207667	0.008135729	0	0.141393635	0	0	0
TCGA-BH-A0AY	0.033266284	0	0	0.124799542	0	0.185315109	0.014694101	0.010359754	0.009766914	0	0	0.017710589	0	0.110525803	0.080915876	0.187311133	0.037649707	0	0.187685187	0	0	0
TCGA-BH-A18P	0.044842437	0	0.011470379	0.076819131	0	0.131273472	0.000987272	0.023675505	0.006026423	0	0	0	0.008216441	0.353396092	0.149134811	0.125774435	0.012770039	0	0.055613562	0	0	0
TCGA-A2-A0CQ	0	0.000394323	0	0.171171455	0	0.146025791	0.000344402	0.016713252	0.012790755	0	0	0	0.094587879	0	0.070271641	0.394869382	0.031146502	0	0.061236741	0	0	0.000447877
TCGA-EW-A6SB	0	0.031814833	0.144702038	0.13009552	0	0.15782375	0.042869288	0.114225933	0.070641668	0	0	0.035411573	0	0.105178914	0.069972758	0.045628961	0.050904982	0	0.000729782	0	0	0
TCGA-BH-A1FH	0.196419371	0	0.133777505	0.075518845	0	0.135460422	0	0	0	0	0	0.034483731	0.008567488	0	0.037018615	0.205983113	0.035876297	0	0.136274206	0	0	0.000620407
TCGA-B6-A1KI	0.076844627	0	0.010437478	0.026685643	0	0.132555231	0	0.060225067	0.002620896	0	0	0.010940411	0	0.291852421	0.098330047	0.155589656	0	0	0.133918523	0	0	0
TCGA-LL-A7T0	0.052882475	0	0.017603564	0.155585598	0	0.163637607	0	0.051078337	0.03482565	0	0	0.023292109	0	0.265720367	0.068540256	0.135379662	0	0	0.031454375	0	0	0
TCGA-A2-A0CW	0.020592467	0	0.002190119	0.111876985	0	0.18447266	0.037618134	0.004354414	0.013806089	0	0	0	0	0.140151802	0.200504686	0.174550089	0.012287656	0	0.097350307	0	0.000244592	0
TCGA-C8-A12P	0.069137959	0	0.043243197	0.079191556	0	0.154042024	0	0.031837694	0.036784397	0	0	0.010728008	0	0.192453126	0.089842708	0.21577558	0	0.013342131	0.063621621	0	0	0
TCGA-BH-A0HU	0.043775027	0	0.007245103	0.207562717	0	0.092930628	0.012862282	0.041958588	0.101079342	0	0	0	0.02249936	0.190381789	0.109374144	0.107500609	0.007795666	0	0.048892188	0	0.006142557	0
TCGA-A1-A0SG	0.258671897	0	0	0.078229404	0	0.154836922	0.003200126	0	0.006529037	0.017160537	0	0	0	0.043206357	0.076587456	0.184406033	0.023025768	0	0.154146463	0	0	0
TCGA-A2-A3XV	0.06090674	0	0.014362654	0.052156399	0	0.135864372	0	0.040455462	0.030743996	0	0	0.055591954	0	0.227788154	0.073291708	0.270680531	0	0	0.038158031	0	0	0
TCGA-BH-A0BV	0.027703121	0	0.00500286	0.134422071	0	0.265252838	0	0.017652651	0.023155918	0.003639534	0	0	0	0.234916879	0.090073161	0.158174634	0	0	0.040006333	0	0	0
TCGA-AR-A1AO	0.021370319	0	0	0.066034806	0	0.075477422	0.003422253	0.025182924	0.014592504	0.00196516	0	0.000118495	0	0.598694251	0.050088946	0.100284913	0.003127111	0	0.039640896	0	0	0
TCGA-AO-A12D	0	0	0.068046306	0.094300926	0	0.310328588	0.055591557	0.056941952	0.028143709	0	0.000231749	0	0	0.088264176	0.086995851	0.163845103	0	0.008113542	0.03919654	0	0	0
TCGA-BH-A0H6	0.047070147	0	0.002179396	0.033935449	0	0.14728035	0	0.024213431	0.004260957	0	0	0.013433422	0.02124948	0.089656737	0.057221787	0.408342829	0.056700873	0	0.094455141	0	0	0
TCGA-AR-A0TU	0.006410687	0	0.003882714	0.170153503	0	0	0.124482854	0.076897166	0.003043385	0.022440558	0	0.039064482	0.002660335	0.15469266	0.098369946	0.129717862	0.042076682	0.099849678	0.026257487	0	0	0
TCGA-BH-A1FN	0.049326007	0	0.008297751	0	0	0.074685223	0.010948734	0.077206427	0.010787342	0	0.015045252	0	0	0.528998657	0.089613283	0.101421304	0	0	0.018210194	0	0	0.015459826
TCGA-AN-A0XL	0.043735076	0	0.006135267	0.071048393	0	0.198124901	0	0.024468423	0	0.004688182	0	0.009256012	0.00146844	0.060898167	0.098185022	0.286634953	0.008979551	0	0.186377612	0	0	0
TCGA-A8-A07S	0.036828891	0	0.006477283	0.004997484	0	0.125158068	0	0.051678798	0.018539272	0	0.005542199	0.001816992	0.074984834	0.270562273	0.060167759	0.294975325	0	0	0.045792887	0	0	0.002477934
TCGA-A2-A0ER	0.050017329	0	0.044165419	0.035066515	0	0.267424932	0	0.027453496	0.008025069	0	0	0.00716	0.012389045	0.048554557	0.056813629	0.179684891	0.012040819	0.016870001	0.225208929	0	0	0.009125369
TCGA-E2-A15H	0.271334318	0	0.204638113	0.088597218	0	0.072178962	0.000396286	0.015508753	0.002043185	0	0	0	0.010863478	0.187612982	0.071798797	0.030827759	0	0	0.044200149	0	0	0
TCGA-LL-A5YP	0.010675238	0.005706896	0.028602082	0.064695984	0	0.157895651	0.011287507	0.051236191	0.019355813	0.010941949	0	0.000426202	0.004999886	0.198120076	0.105104214	0.224993147	0.064458221	0	0.039923171	0	0	0.00157777
