id	group
TCGA-B6-A408	low
TCGA-BH-A0AZ	high
TCGA-A2-A1FW	high
TCGA-C8-A12M	low
TCGA-BH-A0DV	high
TCGA-AN-A0FL	high
TCGA-A8-A08P	high
TCGA-E2-A1L7	low
TCGA-E2-A1L9	low
TCGA-AC-A2BM	low
TCGA-EW-A1P5	low
TCGA-AR-A24Q	high
TCGA-AN-A04A	low
TCGA-AO-A1KS	high
TCGA-BH-A208	high
TCGA-D8-A146	low
TCGA-BH-A1EY	low
TCGA-BH-A0E0	high
TCGA-BH-A0B7	high
TCGA-A8-A07P	high
TCGA-A1-A0SQ	low
TCGA-BH-A6R8	low
TCGA-E9-A1NH	high
TCGA-D8-A3Z6	low
TCGA-E2-A15L	high
TCGA-A2-A0T3	low
TCGA-LL-A73Z	low
TCGA-A2-A0YH	high
TCGA-BH-A0B9	low
TCGA-AQ-A1H2	high
TCGA-BH-A18S	high
TCGA-E2-A1BD	high
TCGA-C8-A134	low
TCGA-A2-A0SV	high
TCGA-A2-A3XZ	low
TCGA-BH-A0BZ	high
TCGA-OL-A5D8	low
TCGA-GM-A2DC	low
TCGA-E2-A1B5	low
TCGA-BH-A0W3	high
TCGA-UL-AAZ6	high
TCGA-A1-A0SF	low
TCGA-A1-A0SE	high
TCGA-AR-A24W	high
TCGA-AR-A256	high
TCGA-EW-A1IY	low
TCGA-BH-A201	high
TCGA-BH-A1FL	low
TCGA-A7-A0DC	high
TCGA-D8-A27R	high
TCGA-AR-A2LM	low
TCGA-AN-A0FF	low
TCGA-EW-A1J1	low
TCGA-AC-A3W5	high
TCGA-A7-A0DA	high
TCGA-A8-A08Z	high
TCGA-LL-A740	high
TCGA-A2-A0CU	high
TCGA-B6-A0I1	high
TCGA-BH-A0HW	high
TCGA-A8-A09K	low
TCGA-BH-A42V	low
TCGA-AC-A2FF	low
TCGA-AC-A2FE	low
TCGA-A2-A4RW	high
TCGA-E9-A1N3	high
TCGA-A7-A3J1	low
TCGA-A7-A6VX	high
TCGA-LL-A5YO	low
TCGA-GM-A3XN	low
TCGA-AR-A0TW	high
TCGA-A2-A1G4	high
TCGA-BH-A0E1	low
TCGA-AO-A1KO	low
TCGA-A8-A0A1	low
TCGA-A8-A091	low
TCGA-GM-A2DA	low
TCGA-B6-A0IK	high
TCGA-AR-A252	low
TCGA-A8-A07Z	low
TCGA-BH-A18V	high
TCGA-BH-A0HF	low
TCGA-S3-AA17	low
TCGA-B6-A409	high
TCGA-AR-A1AP	high
TCGA-B6-A0RH	low
TCGA-C8-A12O	high
TCGA-C8-A1HF	low
TCGA-C8-A1HE	high
TCGA-E2-A108	low
TCGA-A8-A079	high
TCGA-B6-A0I8	high
TCGA-AR-A5QP	low
TCGA-OL-A5RU	low
TCGA-A7-A0DB	high
TCGA-AO-A0J9	low
TCGA-BH-A0BP	low
TCGA-D8-A1JM	high
TCGA-C8-A12V	low
TCGA-BH-A0DI	low
TCGA-A7-A56D	low
TCGA-AO-A0J7	low
TCGA-B6-A0WW	high
TCGA-E2-A14N	low
TCGA-D8-A1JI	low
TCGA-B6-A0RN	high
TCGA-W8-A86G	low
TCGA-BH-A28O	low
TCGA-D8-A27I	low
TCGA-AN-A0FJ	low
TCGA-D8-A142	high
TCGA-AR-A0TQ	low
TCGA-A8-A09X	high
TCGA-GM-A2DB	low
TCGA-E9-A2JT	low
TCGA-D8-A27M	high
TCGA-A2-A0ET	low
TCGA-AO-A129	low
TCGA-A8-A09T	high
TCGA-A2-A0EX	high
TCGA-BH-A0HQ	low
TCGA-A1-A0SJ	high
TCGA-AR-A0U2	high
TCGA-OL-A66P	low
TCGA-D8-A1J9	high
TCGA-HN-A2OB	low
TCGA-BH-A1FB	low
TCGA-AR-A24H	high
TCGA-B6-A0IO	high
TCGA-E9-A229	high
TCGA-A2-A3XY	high
TCGA-E9-A243	low
TCGA-AO-A0JI	low
TCGA-AR-A1AR	high
TCGA-BH-A18T	low
TCGA-E2-A15A	low
TCGA-E2-A152	high
TCGA-A8-A07I	high
TCGA-XX-A899	low
TCGA-E2-A15G	high
TCGA-E9-A227	low
TCGA-AO-A0JM	high
TCGA-D8-A4Z1	low
TCGA-A2-A25C	high
TCGA-A2-A0T4	low
TCGA-E9-A1RB	high
TCGA-EW-A1IZ	low
TCGA-AC-A23E	high
TCGA-5L-AAT0	low
TCGA-BH-A42T	low
TCGA-A7-A6VV	high
TCGA-A8-A08I	low
TCGA-EW-A1P1	high
TCGA-A1-A0SH	high
TCGA-A2-A0EO	low
TCGA-D8-A1XJ	high
TCGA-BH-A1FG	high
TCGA-3C-AALK	low
TCGA-AO-A1KT	high
TCGA-E2-A1II	low
TCGA-A8-A09V	high
TCGA-AN-A0FN	low
TCGA-AC-A5XU	low
TCGA-BH-A1F2	high
TCGA-BH-A0W4	low
TCGA-A2-A0EV	high
TCGA-EW-A1J5	low
TCGA-A1-A0SN	low
TCGA-D8-A1Y3	high
TCGA-BH-A0H3	high
TCGA-AN-A0XW	low
TCGA-AR-A24N	low
TCGA-E9-A1RA	high
TCGA-E9-A1NE	low
TCGA-E9-A1NF	high
TCGA-BH-A0DZ	low
TCGA-AR-A1AY	high
TCGA-E9-A1R2	high
TCGA-LL-A73Y	high
TCGA-E9-A1RG	high
TCGA-BH-A18K	high
TCGA-BH-A0AV	high
TCGA-A2-A0YF	low
TCGA-A2-A0YE	high
TCGA-E2-A1B1	low
TCGA-AC-A2QI	high
TCGA-A2-A0CL	low
TCGA-BH-A0BR	high
TCGA-EW-A1P8	high
TCGA-S3-A6ZG	low
TCGA-BH-A0HN	high
TCGA-GM-A2DL	low
TCGA-A8-A07R	high
TCGA-AR-A1AM	low
TCGA-5L-AAT1	low
TCGA-AR-A1AI	low
TCGA-A8-A095	low
TCGA-BH-A1F6	high
TCGA-EW-A1P0	high
TCGA-E9-A1RC	high
TCGA-BH-A1FU	high
TCGA-A8-A0AD	high
TCGA-C8-A26W	low
TCGA-D8-A1XW	high
TCGA-A2-A25B	high
TCGA-A8-A09D	high
TCGA-A7-A4SE	high
TCGA-A7-A4SF	high
TCGA-E9-A1N4	low
TCGA-E9-A1R6	high
TCGA-E2-A1AZ	high
TCGA-D8-A1XF	high
TCGA-E2-A14Q	low
TCGA-E2-A105	low
TCGA-B6-A0RQ	low
TCGA-B6-A0I5	low
TCGA-LD-A74U	low
TCGA-AN-A0AK	high
TCGA-A2-A0ES	low
TCGA-BH-A1FC	high
TCGA-E9-A2JS	high
TCGA-A7-A3IZ	high
TCGA-E2-A1B0	high
TCGA-E2-A1LI	high
TCGA-OL-A66I	low
TCGA-A2-A25A	low
TCGA-AC-A3BB	low
TCGA-E2-A156	high
TCGA-E2-A15C	low
TCGA-A2-A04U	high
TCGA-BH-A0DP	low
TCGA-A2-A0SX	high
TCGA-D8-A1XQ	low
TCGA-D8-A1JP	low
TCGA-EW-A3U0	low
TCGA-B6-A0RE	low
TCGA-BH-A0BM	low
TCGA-A2-A0ST	low
TCGA-E2-A2P5	high
TCGA-C8-A1HN	high
TCGA-A2-A0YJ	high
TCGA-B6-A0X4	low
TCGA-AR-A5QM	low
TCGA-AR-A24R	low
TCGA-AR-A251	high
TCGA-C8-A1HM	low
TCGA-AC-A6IX	low
TCGA-A8-A09A	low
TCGA-AN-A0AL	high
TCGA-C8-A1HI	low
TCGA-A8-A0A2	high
TCGA-AR-A5QN	low
TCGA-A8-A092	high
TCGA-B6-A0X7	high
TCGA-EW-A1J6	low
TCGA-B6-A0RP	high
TCGA-AR-A1AH	low
TCGA-C8-A8HR	low
TCGA-D8-A1JE	high
TCGA-D8-A1JF	high
TCGA-E2-A14P	high
TCGA-E9-A22E	high
TCGA-BH-A0DE	low
TCGA-B6-A0I2	low
TCGA-AR-A2LJ	low
TCGA-E2-A10A	high
TCGA-GM-A2DK	low
TCGA-B6-A0IA	high
TCGA-AC-A8OP	low
TCGA-A2-A1FV	high
TCGA-A7-A26H	low
TCGA-B6-A0IG	high
TCGA-D8-A27F	high
TCGA-A8-A06P	high
TCGA-D8-A27E	high
TCGA-AO-A0J3	high
TCGA-BH-A0EA	low
TCGA-OL-A66N	high
TCGA-BH-A0E2	low
TCGA-A7-A5ZX	low
TCGA-BH-A1EW	high
TCGA-AC-A5XS	low
TCGA-E2-A15O	low
TCGA-A8-A0AB	high
TCGA-A8-A09B	high
TCGA-D8-A13Z	high
TCGA-AC-A2FM	high
TCGA-C8-A273	high
TCGA-D8-A141	low
TCGA-PE-A5DE	low
TCGA-E2-A1LH	low
TCGA-BH-A0DQ	high
TCGA-E2-A56Z	low
TCGA-BH-A0C0	low
TCGA-AC-A7VB	low
TCGA-E2-A10B	high
TCGA-A7-A13F	high
TCGA-A7-A13E	high
TCGA-B6-A0IB	high
TCGA-AR-A1AN	high
TCGA-E9-A1N9	high
TCGA-OL-A5D6	high
TCGA-A7-A0CJ	low
TCGA-EW-A1IW	low
TCGA-BH-A0HI	low
TCGA-A2-A04V	high
TCGA-BH-A0EB	low
TCGA-E2-A15D	high
TCGA-AR-A0TY	high
TCGA-D8-A1JJ	high
TCGA-E2-A155	high
