	sample	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Activated dendritic cell	CD56bright natural killer cell	CD56dim natural killer cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Eosinophil	Gamma delta T cell	Immature  B cell	Immature dendritic cell	Macrophage	Mast cell	MDSC	Memory B cell	Monocyte	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	group
1	TCGA-A2-A1G6	0.526492005533259	0.621302550279763	0.787787484745911	0.630121501292353	0.833895460041839	0.755505539672557	0.931618972771134	0.829558188240076	0.690381507169338	0.707197257600899	0.529239467736599	0.736942557400874	0.527160248088036	0.875785039005271	0.624923804307211	0.643954166518163	0.808225017188295	0.600124106950746	0.789659924078869	0.786386745040887	0.577084399844687	0.384129031258767	0.844496216430373	0.692817346598958	0.669844932794452	0.672241022250334	0.459857969278591	0.701367688949913	low
2	TCGA-GM-A2DF	0.708607164545871	0.807283245395964	0.85182460067466	0.658797852190528	0.801135656453688	0.824857033204918	0.945288096606275	0.791446119036504	0.675437351883195	0.765088315754577	0.527178288316574	0.77843386093619	0.69431082867485	0.799964079452081	0.660176134371319	0.603584359468765	0.902939213739815	0.608577844428097	0.868438499954539	0.779741329807343	0.584215038483272	0.387633897499816	0.827322239156893	0.7905897871128	0.68041040077136	0.690466037720018	0.477990159866848	0.72614972570244	high
3	TCGA-EW-A6SC	0.510867671468932	0.771832294142822	0.748179286982457	0.640412010941327	0.795035479304785	0.799819319723785	0.933852714417669	0.851000907161782	0.712564680016181	0.749578682121992	0.573962836516624	0.750735977957488	0.571269915786083	0.841809184710877	0.622949764604039	0.717685710540149	0.831525177180625	0.650671373989113	0.805015614138269	0.790962916783414	0.58899288818791	0.433107022618917	0.819140610115667	0.743032631519578	0.684427875441502	0.67041711648285	0.53941725683937	0.723109352766214	low
4	TCGA-EW-A1IX	0.52101885232275	0.637300728780409	0.735786768204632	0.609903856159047	0.787853332526544	0.85003396046833	0.944871613802024	0.850241929600439	0.715708979913277	0.694808328259977	0.54493224448114	0.722362155302768	0.568985747627318	0.833154727305827	0.640768477731932	0.638381632032748	0.794551723776233	0.628560671360669	0.796623500939811	0.803302610917659	0.550820387853599	0.409284421501603	0.817487682832937	0.754945193660446	0.657894900313334	0.671340055563198	0.497650682204025	0.676552051924084	high
5	TCGA-E2-A1LS	0.388260469946012	0.643138035495998	0.700701367717159	0.578265178334369	0.772055696484291	0.704350472709352	0.899167052015843	0.726082795840361	0.631671147125525	0.661769719718059	0.510820620640492	0.683508091988798	0.401268708431247	0.729717513716091	0.476375011623016	0.543971381843813	0.689990578118581	0.496305412867663	0.769550195097576	0.679174700923978	0.516353063328205	0.247159981100338	0.805936486173915	0.564736424822257	0.581240935988984	0.580324440325471	0.423669192915084	0.688192586063095	high
6	TCGA-BH-A0B5	0.48183644405427	0.770820654190602	0.787041813030932	0.630755125929292	0.802196890708858	0.834973393851344	0.936439858082913	0.820522010436362	0.699110003592086	0.741565341907679	0.560629283148887	0.749989311083719	0.558459835951581	0.830730335215482	0.633756201718385	0.638652874250112	0.837703995052272	0.617617037503885	0.792148081769124	0.781331340571167	0.549997424064281	0.384709974302309	0.799474513523659	0.74218883489894	0.664798736902896	0.67385537116609	0.506573163633737	0.729613257538149	low
7	TCGA-D8-A27K	0.61217917413932	0.707030972951214	0.801416173933322	0.638719264674674	0.793034762034373	0.819996989711539	0.918648504942711	0.791413536101148	0.669147247464265	0.741804462622648	0.491912858249713	0.674703466781318	0.621875936940621	0.806034585921581	0.592224131259963	0.651964340268442	0.840244537606454	0.614513628716588	0.790153630273055	0.781902789054442	0.553370196755177	0.358409230463064	0.797384740183571	0.645694652769458	0.65989452709335	0.680243855484	0.451718415591976	0.695817138373113	high
8	TCGA-E2-A1IO	0.55106382397542	0.697041589195094	0.839668668307498	0.63528265503919	0.812224389504222	0.849445700260731	0.938988121650357	0.836882464725209	0.677024939434813	0.738192095874887	0.503927551695217	0.716911185840989	0.58504993134196	0.835981789753403	0.594617193416968	0.655238235378342	0.845203210590821	0.632759251914926	0.80830167800585	0.794020807315822	0.605143421147869	0.326768860223777	0.809914772623001	0.712281451506014	0.678132786984891	0.695085401531492	0.498343892740982	0.69151336125217	low
9	TCGA-C8-A132	0.647522348052986	0.772237407717321	0.884859298737559	0.660749285521255	0.826751607726315	0.863747687351752	0.950287949624381	0.81470574532005	0.675260442054264	0.756970071648271	0.521724285671158	0.75556094127656	0.659708080136998	0.814091397243867	0.619706273748473	0.6116247299351	0.871619964915353	0.61098163827218	0.821449817538834	0.803341842261983	0.629392340022625	0.293717087822063	0.806496744219406	0.769018078784651	0.711623695783438	0.704074389971586	0.498695499273442	0.738804116229147	low
10	TCGA-BH-A0HA	0.545945529933586	0.721093082976871	0.845155995061553	0.65699387715592	0.825338253629099	0.839190891409048	0.942054826622175	0.832152933665216	0.708419929496285	0.697774801337039	0.517462974371204	0.729130618628514	0.603915179418426	0.795412329883113	0.639995230802753	0.621354819901006	0.818739772648531	0.572627543210045	0.821824507265708	0.792533928489091	0.57576531903022	0.45028544874417	0.804767544360162	0.724854393101574	0.69265768462825	0.6895813433223	0.492570060363875	0.715010037115876	low
11	TCGA-D8-A1Y2	0.627357705669409	0.773721135467273	0.880098912562157	0.697111707324956	0.80222064837257	0.853589253985011	0.957717237120324	0.876553080632113	0.741506918936885	0.776073454971423	0.516376697615633	0.807788511119203	0.690189466627642	0.844234241036639	0.748937552854869	0.680591477016556	0.959725056435922	0.648231448744905	0.830247876733752	0.813976954612954	0.640174016761398	0.444501832101212	0.823491181682461	0.893116836476749	0.741002280294906	0.729415015510563	0.509929204215767	0.712446973858501	low
12	TCGA-BH-A0BD	0.560230689259045	0.806147361282348	0.81985736063703	0.656595631175667	0.793720890647699	0.822236861078819	0.936620920890399	0.818956292384512	0.722152056615024	0.779349902583109	0.501993894809176	0.774843997247345	0.597934379246976	0.862750602322158	0.634011602007358	0.63066784515717	0.859982118845788	0.624437333559635	0.827348066503774	0.770720464178283	0.626798399939582	0.403913376701683	0.833133923323355	0.754520687353198	0.682933722464255	0.68148741656447	0.442583142973875	0.742647996669223	high
13	TCGA-GM-A3XL	0.574720784373426	0.839076946548645	0.88366674255584	0.674136221879475	0.750141042650749	0.82335254607475	0.918404627025673	0.749019028219573	0.59883305479292	0.779191529088206	0.441888610633193	0.767532794716112	0.569773728501451	0.787597326007348	0.601645287862787	0.530761581193343	0.898733850954019	0.532083648592066	0.811263187493382	0.747340915985409	0.649808636764475	0.267957214732227	0.804133793455568	0.749909344554251	0.654272316761162	0.665001788964726	0.41517183258967	0.695810937509255	low
14	TCGA-D8-A1XL	0.640347371486975	0.791620367724856	0.897929317842212	0.687070718547858	0.784121869213026	0.851186427264666	0.912740385549238	0.795689533422054	0.691828371853756	0.760872665241107	0.492332105890248	0.770919069767507	0.665019811317267	0.78907558220454	0.657656439857744	0.632071850796335	0.889816491181759	0.627724466041945	0.806845755313205	0.778582649931197	0.615166208764113	0.413683116269846	0.798657328939914	0.76660054359618	0.688479784602039	0.691488126494997	0.487294994462211	0.678605746765198	low
15	TCGA-A2-A3XS	0.649378139414702	0.744778004792449	0.834954106152245	0.617498205095289	0.796797429950238	0.817396966589698	0.946289553010136	0.796509474882754	0.683184886564243	0.745538578244984	0.449170529937937	0.758861116902025	0.604757497139918	0.822781245784056	0.608415377191125	0.555082150604131	0.837563697066052	0.594629301045299	0.833956608546131	0.763103599149523	0.577552934935715	0.281965248532233	0.830974137656803	0.717330704742293	0.680935607171797	0.688898361448802	0.464601147484828	0.696803375069259	high
